,Contact Time,Lead Uptake,Lead Concentration
0,5,4.4935,5
3,5,6.855,10
6,5,18.92,25
1,10,4.5625,5
4,10,7.784000000000001,10
7,10,19.29,25
2,15,4.770499999999999,5
5,15,9.712,10
8,15,19.81,25
